path	product_id	updated	quality	supplier_id	prod_id	catid	m_prod_id	ean_upc	on_market	country_market	model_name	product_view	high_pic	high_pic_size	high_pic_width	high_pic_height	m_supplier_id	m_supplier_name	ean_upc_is_approved	Limited	Date_Added
export/freexml.int/NL/1448.xml	1448	20191113114427	ICECAT	1	C6779A	853	C6779A	0002518414249;0088698523063	1	GB;DE	C6779A	40138	http://images.icecat.biz/img/norm/high/1448-HP.jpg	16694	170	190			0;1	No	20050823000000
export/freexml.int/NL/1449.xml	1449	20190408053814	ICECAT	1	C6780A	971	C6780A	0886985230706;0088698523070	1	GB;DE	C6780A	41569	http://images.icecat.biz/img/gallery/1449_2095305021.jpg	30675	400	400			0;1	No	20050823000000
export/freexml.int/NL/1450.xml	1450	20191115152626	ICECAT	1	Q1396A	714	AQ1396A	7251846601606;0725184814310;5051964024590;5053676833583;4082014025107;0082014025125;4053162296169;0725184660160;0890552550630;0848412013641;5054629052983;4049982211031;5056066734453	1	NL;BE;FR;UA;GB;DE;BG;RU;LT;CY;IE;PT;IS;DK;PL;HU;FI;NO;SE;CH;IT;ES;SK;CZ;AT;US;AU;CA;CL;MX;TR;LU;WW	Q1396A	347281	http://images.icecat.biz/img/norm/high/1450-HP.jpg	19448	400	400	1	HP	0;0;0;0;0;0;0;1;0;1;0;0;0	No	20050715000000
export/freexml.int/NL/1450.xml	1450	20191115152626	ICECAT	1	Q1396A	714	HPQ1396A	7251846601606;0725184814310;5051964024590;5053676833583;4082014025107;0082014025125;4053162296169;0725184660160;0890552550630;0848412013641;5054629052983;4049982211031;5056066734453	1	NL;BE;FR;UA;GB;DE;BG;RU;LT;CY;IE;PT;IS;DK;PL;HU;FI;NO;SE;CH;IT;ES;SK;CZ;AT;US;AU;CA;CL;MX;TR;LU;WW	Q1396A	347281	http://images.icecat.biz/img/norm/high/1450-HP.jpg	19448	400	400	1	HP	0;0;0;0;0;0;0;1;0;1;0;0;0	No	20050715000000
export/freexml.int/NL/1450.xml	1450	20191115152626	ICECAT	1	Q1396A	714	Q1396A	7251846601606;0725184814310;5051964024590;5053676833583;4082014025107;0082014025125;4053162296169;0725184660160;0890552550630;0848412013641;5054629052983;4049982211031;5056066734453	1	NL;BE;FR;UA;GB;DE;BG;RU;LT;CY;IE;PT;IS;DK;PL;HU;FI;NO;SE;CH;IT;ES;SK;CZ;AT;US;AU;CA;CL;MX;TR;LU;WW	Q1396A	347281	http://images.icecat.biz/img/norm/high/1450-HP.jpg	19448	400	400	11	Cisco	0;0;0;0;0;0;0;1;0;1;0;0;0	No	20050715000000
export/freexml.int/NL/1451.xml	1451	20191115152627	ICECAT	1	Q1397A	702	HPQ1397A	7251846601774;5704327049975;0725184814334;8484120136580;4053162296176;0854432526108;0725184660177;0848412013658;5054629074350	1	NL;BE;FR;UA;GB;DE;BG;RU;LT;CY;IE;PT;IS;DK;HU;FI;NO;SE;CH;IT;ES;SK;CZ;AT;US;AU;CA;CL;MX;NZ;LU	Q1397A	309532	http://images.icecat.biz/img/norm/high/1451-HP.jpg	19448	400	400	1	HP	0;0;0;0;0;0;1;1;0	No	20050715000000
export/freexml.int/NL/1452.xml	1452	20190624112251	ICECAT	1	C7968A	971	C7968A	0725184825514	1	ES	C7968A	24764	http://images.icecat.biz/img/norm/high/1452-HP.jpg	9072	170	190			0	No	20050810000000
export/freexml.int/NL/1453.xml	1453	20190406125813	SUPPLIER	1	Q1696A	971	Q1696A	0725184825521;2092014032519	1	SE;FI;LU	Matte Canvas 340 g/m²-54"/1372 mm x 10.7 m	19976	http://images.icecat.biz/img/norm/high/1453-HP.jpg	9072	170	190			0;0	No	20050810000000
export/freexml.int/NL/1454.xml	1454	20191115151057	ICECAT	1	C6019B	971	C6019B	0886985913760;0788698591375;4053162279179;0908268691650;8484120127502;0999992689518;5054565070218;5051395529756;0088698591376;0848412012750	1	NL;BE;FR;UA;GB;DE;BG;RU;CY;IE;PT;IS;DK;PL;HU;FI;NO;SE;CH;IT;ES;SK;CZ;AT;US;AU;BR;CA;MX;NZ	C6019B	290735	http://images.icecat.biz/img/gallery/img_1454_high_1506985901_4062_9609.jpg	661516	3387	2400	11	Cisco	0;0;0;0;0;0;0;0;1;1	No	20050728000000
export/freexml.int/NL/1454.xml	1454	20191115151057	ICECAT	1	C6019B	971	HPC6019B	0886985913760;0788698591375;4053162279179;0908268691650;8484120127502;0999992689518;5054565070218;5051395529756;0088698591376;0848412012750	1	NL;BE;FR;UA;GB;DE;BG;RU;CY;IE;PT;IS;DK;PL;HU;FI;NO;SE;CH;IT;ES;SK;CZ;AT;US;AU;BR;CA;MX;NZ	C6019B	290735	http://images.icecat.biz/img/gallery/img_1454_high_1506985901_4062_9609.jpg	661516	3387	2400	1	HP	0;0;0;0;0;0;0;0;1;1	No	20050728000000
export/freexml.int/NL/1455.xml	1455	20191115151058	ICECAT	1	C6020B	702	HPC6020B	0886985913838;0088698076903;5705965573600;0088698076910;4052305092002;5054565046114;5054533063976;5052461818507;0088698591383;0848412012774;0088698171615;5053973879406;4053162279186;5053676833460;5055344664741;5054484063971	1	NL;BE;FR;GB;DE;BG;CY;IE;PT;IS;DK;PL;HU;FI;NO;SE;CH;IT;ES;SK;CZ;AT;US;AU;BR;CA;MX;NZ	C6020B	311565	http://images.icecat.biz/img/gallery/img_1455_high_1506985902_2254_1525.jpg	661516	3387	2400	1	HP	0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0	No	20050727000000
export/freexml.int/NL/1456.xml	1456	20191115151059	ICECAT	1	C6568B	971	C6568B	0008869851979;0883585506996;4053162279315;0886985197900;2092014023401;8835855069962;0848412012804	1	NL;BE;FR;UA;GB;DE;BG;IE;PT;DK;FI;NO;SE;CH;IT;ES;SK;CZ;AT;US;AU;CA	C6568B	163854	http://images.icecat.biz/img/norm/high/1456-HP.jpg	19448	400	400			0;1;0;0;0;0;1	No	20050727000000
export/freexml.int/NL/1457.xml	1457	20191115151104	ICECAT	1	C6980A	702	C6980A	0025184239770;0251842397708;4053162279582;0848412012781;6747816932395;5054533045392;5054484045397;5054629535370;5053676833576;0971475507137	1	NL;BE;FR;UA;GB;DE;BG;RU;IE;PT;DK;HU;FI;NO;SE;CH;IT;ES;SK;CZ;AT;US;AU;CA;MX	C6980A	219198	http://images.icecat.biz/img/norm/high/1457-HP.jpg	19448	400	400			1;0;0;1;0;0;0;0;0;0	No	20051006000000
export/freexml.int/NL/1458.xml	1458	20191115152628	ICECAT	1	Q1406A	971	Q1406A	7251846602214;0854432526139;8484120137020;5051395743817;5053676833637;0725184660221;4053162296213;4049982214032;5054533058651;5054484058656	1	NL;BE;FR;UA;GB;DE;IE;DK;PL;FI;NO;SE;IT;ES;SK;CZ;AT;US;MX;LU	Q1406A	200662	http://images.icecat.biz/img/norm/high/1458-HP.jpg	19448	400	400			0;0;0;0;0;1;0;0;0;0	No	20050730000000
export/freexml.int/NL/1459.xml	1459	20191113153037	ICECAT	1	Q1408A	702	Q1408A	0725184660245;7251846602450;0725184536687;0848412013719;0778890674907;4053162296220	1	NL;BE;FR;GB;DE;PT;DK;FI;NO;SE;IT;ES;SK;CZ;AT;US;MX;LU	Q1408A	147237	http://images.icecat.biz/img/norm/high/1459-HP.jpg	19448	400	400			1;0;0;0;0;0	No	20050730000000
export/freexml.int/NL/1460.xml	1460	20191115150450	ICECAT	1	51631D	714	51631D	0088698043684;0886980436844;5705965482391;0999992687675;0848412014297;5052461818040;5051395526984;5054629031667	1	NL;BE;FR;UA;GB;DE;BG;IE;PT;DK;HU;FI;NO;SE;CH;IT;ES;SK;CZ;AT;US;AU;CA;MX	51631D	231269	http://images.icecat.biz/img/norm/high/1460-HP.jpg	20165	400	400			1;0;0;0;1;0;0;0	No	20050902000000
export/freexml.int/NL/1461.xml	1461	20191115150451	ICECAT	1	51631E	714	51631E	5018206030832;0886980436912;0999992687682;5051395310491;0002900551859;4054317590989;5054629046692;5053676833446;0088698043691;4053162254862	1	NL;BE;FR;UA;GB;DE;BG;IE;PT;DK;FI;NO;SE;CH;IT;ES;SK;CZ;AT;US;AU;CA;MX;NZ;LU	51631E	369712	http://images.icecat.biz/img/norm/high/1461-HP.jpg	9166	170	190			0;0;0;0;0;0;0;0;1;0	No	20050729000000
